"Central","Abura-Asebu-Kwamankese","ABURA DUNKWA","ABURA GYABANKROM CHPS ZONE",5.2788,-1.11699,"Not Applicable","Government","CHPS",,1,,2,,1,3,,,"Rain Water","Improved Pit Latrine",,"Improved Pit Latrine",,,,,,2,,"Pit burning in facility",,,"Solar System",,2,2,2,2,2,2,,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,98,2,1,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,3,2,1,1,1,1,1,1,1,1,,,2,,1,1,,,,"Disposable;Auto-destruct",,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
"Central","Abura-Asebu-Kwamankese","ASUANSI","ASOMDWEE CHPS ZONE",5.33715,-1.28221,"Not Applicable","Government","CHPS",271,0,,2,,1,4,,,"Borehole","Improved Pit Latrine",,"Improved Pit Latrine",,"Solid",,2,2,1,"Carried By Ordelies","Pit burning in facility",,,,,2,2,2,1,2,2,,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,"Disposable","Boiling pot",,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
"Central","Abura-Asebu-Kwamankese","ABURA DUNKWA","AYELDU CHPS ZONE",5.33784,-1.12736,"Not Applicable","Government","CHPS",,,1,,,2,,,,"Borehole","KVIP",,,,"Solid",,,,,,"Surface burning in facility",,,,,,,,,,,,1,,,,1,1,2,1,,,,,,,1,2,1,,1,2,2,2,1,2,2,2,98,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,0,,1,1,1,1,,"Disposable",,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,
"Central","Abura-Asebu-Kwamankese","ABURA DUNKWA","KWAMANKESE CHPS ZONE",5.29021,-1.09563,"Not Applicable","Government","CHPS",92,,,2,,1,,,,"Borehole","KVIP",,"KVIP",,"Solid",,1,1,1,"Carried By Ordelies","Incineration  in facility",,,"National Grid",,2,2,2,1,2,2,,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,,,1,,1,1,,,,"Auto-destruct",,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,
"Central","Abura-Asebu-Kwamankese","ABAKRAMPA","NKWANTANAN CHPS ZONE",5.28076,-1.28954,"Not Applicable","Government","CHPS",42,,,2,,,,,,"Borehole",,,,,"Solid",,2,2,98,"Carried By Ordelies","Pit burning in facility",,,"None",,2,1,2,1,2,98,,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,"Disposable","Boiling pot",,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
"Central","Abura-Asebu-Kwamankese","ABURA-DUNKWA","OBOHEN CHPS ZONE",5.30269,-1.13868,"Not Applicable","Government","CHPS",91,,,2,,1,,,,"Borehole","KVIP",,"KVIP",,"Solid",,1,1,1,"Carried By Ordelies","Pit burning in facility",,,,,2,2,2,1,2,2,,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,,,,"Auto-destruct",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
"Central","Abura-Asebu-Kwamankese","MOREE","PUTUBIW CHPS ZONE",5.20157,-1.26566,"Not Applicable","Government","CHPS",60,,,2,,1,0,,,"Piped Water",,,"Water Closet",,"Liquid",,1,1,1,"Carried By Ordelies","Incineration  in facility",,,"National Grid",,2,1,2,1,2,2,,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,2,1,2,1,,,1,,2,2,,,,"Disposable","Boiling pot",,1,,,,,1,,1,,,,,,,,,,,,,,,,,,
"Central","Agona","NYAKROM","OTSENKRANG CHPS COMPOUND",5.71952,-0.82965,"New  - under construction","Government","CHPS",0,0,0,2,2,2,0,0,0,"Borehole","KVIP;Improved Pit Latrine",,"KVIP",,"Solid",,1,2,1,"Carried By Ordelies","Pit burning in facility",,,"None",,98,1,2,2,2,2,,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,0,0,3,1,,3,2,1,1,1,0,0,1,0,0,0,,,,"Disposable","Autoclave;Sterilizers;Pressure pots;Boiling pot",,1,,,,,1,,,,,,,,,,,,,,,,,,,,
"Eastern","Akwapim North","Okrakwadwo","Chps centre",6.04426,-0.16591,"Not Applicable","Government","CHPS",49,1,3,2,0,1,3,3,0,"Rain Water","KVIP",,"KVIP",,"Solid",,1,1,2,"Carried By Ordelies","Pit burning in facility",,"Sewerage System","Solar System",,2,1,2,2,2,2,,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,2,1,1,1,3,3,2,2,1,0,0,0,0,0,1,1,1,1,,"Disposable;Auto-destruct","Sterilizers;Boiling pot",,1,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,
"Eastern","Akwapim North","Adwaso","Tadankro chps",5.90318,-0.19386,"Not Applicable","Government","CHPS",110,1,0,2,0,1,1,0,,"Borehole;Rain Water","Open Pit Latrine",,"Open Pit Latrine",,"Solid",,1,1,1,"Wheel Barrows","Pit burning in facility",,"Sewerage System","Solar System",,2,1,2,2,2,2,,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,,"Disposable","Boiling pot",,1,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
